1	3	6	80	78	53	25
1	3	2	80	73	58	17
1	3	22	80	73	58	13
1	3	35	80	82	49	22
1	3	37	80	42	67	10
1	3	80	80	29	75	1
1	6	2	78	73	54	12
1	6	22	78	73	45	30
1	6	35	78	82	55	24
1	6	37	78	42	56	16
1	6	80	78	29	77	2
1	2	22	73	73	10	19
1	2	35	73	82	13	22
1	2	37	73	42	45	7
1	2	80	73	29	53	5
1	22	35	73	82	24	26
1	22	37	73	42	61	13
1	22	80	73	29	66	2
1	35	37	82	42	49	9
1	35	80	82	29	76	0
1	37	80	42	29	30	5
2	10	12	84	85	18	31
2	10	1	84	75	55	14
2	10	3	84	77	49	20
2	10	75	84	80	59	10
2	12	1	85	75	48	14
2	12	3	85	77	52	20
2	12	75	85	80	51	17
2	1	3	75	77	19	46
2	1	75	75	80	13	55
2	3	75	77	80	20	39
3	1	6	85	64	59	11
3	1	10	85	87	61	16
3	1	2	85	82	63	19
3	1	17	85	68	57	13
3	1	18	85	36	66	4
3	6	10	64	87	6	59
3	6	2	64	82	13	50
3	6	17	64	68	8	9
3	6	18	64	36	17	17
3	10	2	87	82	26	26
3	10	17	87	68	48	22
3	10	18	87	36	55	9
3	2	17	82	68	41	18
3	2	18	82	36	50	11
3	17	18	68	36	19	1
4	7	8	96	100	17	69
4	7	67	96	98	14	17
4	8	67	100	98	63	13
5	8	39	99	99	15	65
6	35	3	70	61	29	15
6	35	16	70	68	22	7
6	35	1	70	79	25	54
6	35	13	70	70	17	55
6	35	37	70	40	52	3
6	35	22	70	24	62	7
6	3	16	61	68	36	23
6	3	1	61	79	8	53
6	3	13	61	70	9	53
6	3	37	61	40	45	2
6	3	22	61	24	53	5
6	16	1	68	79	19	59
6	16	13	68	70	10	56
6	16	37	68	40	36	10
6	16	22	68	24	53	6
6	1	13	79	70	66	17
6	1	37	79	40	62	6
6	1	22	79	24	72	5
6	13	37	70	40	58	6
6	13	22	70	24	66	3
6	37	22	40	24	24	9
7	26	13	98	96	26	26
7	26	4	98	95	57	17
7	26	5	98	0	99	0
7	13	4	96	95	55	34
7	13	5	96	0	87	0
7	4	5	95	0	99	0
8	13	5	4	60	0	44
8	13	4	4	99	1	71
8	5	4	60	99	14	66
10	2	3	84	87	53	35
10	2	12	84	91	26	45
10	2	18	84	77	51	10
10	2	17	84	86	16	54
10	3	12	87	91	24	51
10	3	18	87	77	55	20
10	3	17	87	86	23	47
10	12	18	91	77	42	33
10	12	17	91	86	64	21
10	18	17	77	86	7	67
12	2	17	82	77	41	21
12	2	10	82	86	21	52
12	17	10	77	86	22	51
13	37	6	83	76	54	19
13	37	7	83	94	16	24
13	37	4	83	1	86	0
13	6	7	76	94	14	76
13	6	4	76	1	69	0
13	7	4	94	1	90	0
14	15	18	73	62	49	9
14	15	21	73	87	21	57
14	15	16	73	81	19	47
14	18	21	62	87	17	67
14	18	16	62	81	10	54
14	21	16	87	81	56	17
15	20	21	97	93	31	30
15	20	14	97	76	72	18
15	20	16	97	94	30	64
15	21	14	93	76	53	20
15	21	16	93	94	34	67
15	14	16	76	94	25	68
16	20	14	85	89	26	54
16	20	15	85	97	23	61
16	20	6	85	57	61	11
16	20	80	85	97	23	16
16	20	21	85	87	30	55
16	14	15	89	97	17	62
16	14	6	89	57	54	18
16	14	80	89	97	49	21
16	14	21	89	87	23	52
16	15	6	97	57	72	13
16	15	80	97	97	69	9
16	15	21	97	87	58	25
16	6	80	57	97	9	64
16	6	21	57	87	11	63
16	80	21	97	87	24	62
17	12	10	72	83	23	62
17	12	3	72	64	44	16
17	12	22	72	0	80	0
17	10	3	83	64	70	20
17	10	22	83	0	86	0
17	3	22	64	0	73	0
18	22	21	79	74	61	15
18	22	10	79	73	61	11
18	22	3	79	37	59	9
18	22	14	79	60	60	14
18	22	6	79	1	67	0
18	21	10	74	73	55	24
18	21	3	74	37	58	5
18	21	14	74	60	42	19
18	21	6	74	1	71	1
18	10	3	73	37	42	10
18	10	14	73	60	23	10
18	10	6	73	1	64	1
18	3	14	37	60	8	22
18	3	6	37	1	26	0
18	14	6	60	1	39	0
20	15	21	94	67	70	25
20	15	16	94	86	53	30
20	21	16	67	86	20	57
21	14	18	89	75	61	28
21	14	20	89	77	65	17
21	14	16	89	87	61	34
21	14	15	89	92	57	35
21	18	20	75	77	45	18
21	18	16	75	87	15	41
21	18	15	75	92	12	70
21	20	16	77	87	32	44
21	20	15	77	92	20	50
21	16	15	87	92	22	40
22	1	18	79	78	5	66
22	1	6	79	19	66	1
22	18	6	78	19	58	5
24	27	31	86	85	19	50
25	28	53	91	88	68	26
25	28	35	91	74	39	17
25	53	35	88	74	66	9
26	37	36	75	76	36	21
26	37	7	75	97	14	70
26	36	7	76	97	14	67
27	41	31	74	83	11	61
27	41	24	74	44	54	26
27	41	45	74	75	28	48
27	41	42	74	74	17	50
27	31	24	83	44	63	23
27	31	45	83	75	56	14
27	31	42	83	74	61	11
27	24	45	44	75	27	53
27	24	42	44	74	23	58
27	45	42	75	74	23	25
28	58	38	18	35	3	56
28	58	25	18	84	2	79
28	38	25	35	84	16	67
30	42	43	18	89	2	56
30	42	55	18	18	13	13
30	42	38	18	87	3	71
30	42	48	18	91	9	64
30	43	55	89	18	65	6
30	43	38	89	87	24	27
30	43	48	89	91	16	62
30	55	38	18	87	4	73
30	55	48	18	91	5	79
30	38	48	87	91	12	66
31	24	27	54	96	38	52
31	24	60	54	22	82	6
31	24	53	54	73	55	10
31	27	60	96	22	71	6
31	27	53	96	73	62	21
31	60	53	22	73	6	54
32	60	34	71	100	6	80
32	60	54	71	79	14	14
32	34	54	100	79	69	25
33	35	0	3	0	0	0
34	60	32	89	91	21	60
34	60	50	89	79	26	35
34	60	54	89	71	37	22
34	32	50	91	79	64	17
34	32	54	91	71	64	28
34	50	54	79	71	29	25
35	1	25	74	65	43	20
35	1	6	74	75	41	19
35	1	36	74	60	55	7
35	25	6	65	75	30	28
35	25	36	65	60	23	9
35	6	36	75	60	35	13
36	35	58	54	56	20	16
36	35	38	54	89	9	60
36	35	26	54	73	11	37
36	35	39	54	63	13	27
36	58	38	56	89	13	59
36	58	26	56	73	9	28
36	58	39	56	63	6	20
36	38	26	89	73	55	21
36	38	39	89	63	45	28
36	26	39	73	63	28	20
37	13	38	87	85	57	21
37	13	1	87	58	70	12
37	13	6	87	40	72	9
37	13	26	87	63	62	11
37	38	1	85	58	72	18
37	38	6	85	40	61	9
37	38	26	85	63	43	28
37	1	6	58	40	24	8
37	1	26	58	63	18	40
37	6	26	40	63	6	50
38	28	43	59	47	33	5
38	28	39	59	48	15	41
38	28	37	59	63	15	23
38	28	30	59	57	19	13
38	28	36	59	55	14	41
38	28	44	59	49	37	7
38	43	39	47	48	17	46
38	43	37	47	63	16	26
38	43	30	47	57	17	33
38	43	36	47	55	10	28
38	43	44	47	49	12	11
38	39	37	48	63	43	10
38	39	30	48	57	37	7
38	39	36	48	55	15	13
38	39	44	48	49	55	15
38	37	30	63	57	11	11
38	37	36	63	55	16	39
38	37	44	63	49	44	17
38	30	36	57	55	14	42
38	30	44	57	49	47	14
38	36	44	55	49	45	14
39	36	5	52	75	9	57
39	36	57	52	76	8	30
39	36	38	52	63	15	42
39	5	57	75	76	48	15
39	5	38	75	63	54	11
39	57	38	76	63	24	24
40	60	45	27	95	4	85
40	60	54	27	73	12	45
40	60	52	27	91	5	57
