1	9	10	82	78	56	20	36	36
1	9	3	82	56	75	9	36	48
1	9	14	82	100	27	58	36	12
1	9	8	82	100	17	68	36	23
1	9	64	82	85	53	20	36	44
1	9	4	82	81	54	18	36	38
1	9	18	82	58	65	13	36	44
1	10	3	78	56	61	9	36	48
1	10	14	78	100	12	68	36	12
1	10	8	78	100	28	53	36	23
1	10	64	78	85	46	19	36	44
1	10	4	78	81	20	19	36	38
1	10	18	78	58	64	14	36	44
1	3	14	56	100	17	71	48	12
1	3	8	56	100	6	71	48	23
1	3	64	56	85	9	32	48	44
1	3	4	56	81	9	60	48	38
1	3	18	56	58	15	25	48	44
1	14	8	100	100	68	20	12	23
1	14	64	100	85	72	9	12	44
1	14	4	100	81	72	6	12	38
1	14	18	100	58	67	13	12	44
1	8	64	100	85	65	11	23	44
1	8	4	100	81	81	12	23	38
1	8	18	100	58	71	7	23	44
1	64	4	85	81	31	37	44	38
1	64	18	85	58	17	5	44	44
1	4	18	81	58	59	11	38	44
2	19	80	92	99	16	17	34	36
3	18	7	88	92	54	29	25	29
3	18	20	88	81	56	16	25	43
3	18	15	88	90	54	24	25	38
3	18	16	88	100	27	35	25	27
3	18	66	88	90	54	26	25	38
3	18	1	88	58	67	19	25	44
3	18	14	88	78	56	18	25	35
3	7	20	92	81	64	24	29	43
3	7	15	92	90	48	27	29	38
3	7	16	92	100	20	59	29	27
3	7	66	92	90	56	10	29	38
3	7	1	92	58	60	4	29	44
3	7	14	92	78	62	20	29	35
3	20	15	81	90	18	68	43	38
3	20	16	81	100	7	89	43	27
3	20	66	81	90	9	57	43	38
3	20	1	81	58	21	5	43	44
3	20	14	81	78	21	42	43	35
3	15	16	90	100	22	72	38	27
3	15	66	90	90	23	27	38	38
3	15	1	90	58	71	6	38	44
3	15	14	90	78	28	40	38	35
3	16	66	100	90	66	17	27	38
3	16	1	100	58	73	6	27	44
3	16	14	100	78	62	17	27	35
3	66	1	90	58	71	6	38	44
3	66	14	90	78	38	29	38	35
3	1	14	58	78	19	45	44	35
4	1	11	79	90	50	20	40	46
4	1	8	79	90	20	60	40	31
4	1	9	79	89	21	69	40	21
4	1	67	79	75	18	60	40	39
4	1	14	79	0	81	0	40	65535
4	11	8	90	90	13	64	46	31
4	11	9	90	89	30	69	46	21
4	11	67	90	75	14	52	46	39
4	11	14	90	0	94	0	46	65535
4	8	9	90	89	24	63	31	21
4	8	67	90	75	51	25	31	39
4	8	14	90	0	84	0	31	65535
4	9	67	89	75	65	27	21	39
4	9	14	89	0	89	0	21	65535
4	67	14	75	0	86	0	39	65535
5	19	37	88	76	65	7	32	35
5	19	35	88	75	61	10	32	40
5	19	14	88	71	71	8	32	37
5	19	11	88	76	53	10	32	46
5	19	18	88	56	72	10	32	44
5	19	3	88	1	87	0	32	50
5	37	35	76	75	31	21	35	40
5	37	14	76	71	28	19	35	37
5	37	11	76	76	54	15	35	46
5	37	18	76	56	34	12	35	44
5	37	3	76	1	76	0	35	50
5	35	14	75	71	19	29	40	37
5	35	11	75	76	46	21	40	46
5	35	18	75	56	40	10	40	44
5	35	3	75	1	64	0	40	50
5	14	11	71	76	50	23	37	46
5	14	18	71	56	43	14	37	44
5	14	3	71	1	72	0	37	50
5	11	18	76	56	31	12	46	44
5	11	3	76	1	74	0	46	50
5	18	3	56	1	59	0	44	50
6	11	7	83	58	43	7	37	45
6	11	16	83	87	9	33	37	26
6	11	20	83	95	15	59	37	20
6	7	16	58	87	14	51	45	26
6	7	20	58	95	22	52	45	20
6	16	20	87	95	23	57	26	20
7	3	15	88	100	54	31	33	33
7	3	6	88	47	80	7	33	47
7	3	20	88	85	48	24	33	35
7	3	16	88	83	62	17	33	42
7	3	18	88	22	81	3	33	46
7	15	6	100	47	82	11	33	47
7	15	20	100	85	64	25	33	35
7	15	16	100	83	63	20	33	42
7	15	18	100	22	93	4	33	46
7	6	20	47	85	20	63	47	35
7	6	16	47	83	21	55	47	42
7	6	18	47	22	56	3	47	46
7	20	16	85	83	9	80	35	42
7	20	18	85	22	0	22	35	46
7	16	18	83	22	74	6	42	46
8	1	67	99	88	68	11	24	40
8	1	9	99	91	31	53	24	20
8	1	4	99	91	74	23	24	30
8	1	14	99	81	79	16	24	41
8	1	18	99	1	98	2	24	46
8	1	10	99	99	57	31	24	25
8	67	9	88	91	25	70	40	20
8	67	4	88	91	29	62	40	30
8	67	14	88	81	59	14	40	41
8	67	18	88	1	81	0	40	46
8	67	10	88	99	25	63	40	25
8	9	4	91	91	61	24	20	30
8	9	14	91	81	66	26	20	41
8	9	18	91	1	86	2	20	46
8	9	10	91	99	67	20	20	25
8	4	14	91	81	58	26	30	41
8	4	18	91	1	85	0	30	46
8	4	10	91	99	32	67	30	25
8	14	18	81	1	75	1	41	46
8	14	10	81	99	14	70	41	25
8	18	10	1	99	0	98	46	25
9	67	4	89	91	37	46	31	17
9	67	11	89	86	53	11	31	46
9	67	8	89	85	16	65	31	17
9	67	1	89	85	54	11	31	36
9	67	10	89	90	21	46	31	17
9	67	13	89	44	66	5	31	44
9	67	14	89	13	72	0	31	46
9	4	11	91	86	50	31	17	46
9	4	8	91	85	39	29	17	17
9	4	1	91	85	58	25	17	36
9	4	10	91	90	34	24	17	17
9	4	13	91	44	66	2	17	44
9	4	14	91	13	74	7	17	46
9	11	8	86	85	10	62	46	17
9	11	1	86	85	22	51	46	36
9	11	10	86	90	10	57	46	17
9	11	13	86	44	29	9	46	44
9	11	14	86	13	51	2	46	46
9	8	1	85	85	53	24	17	36
9	8	10	85	90	37	28	17	17
9	8	13	85	44	73	2	17	44
9	8	14	85	13	72	4	17	46
9	1	10	85	90	24	54	36	17
9	1	13	85	44	66	7	36	44
9	1	14	85	13	59	2	36	46
9	10	13	90	44	64	8	17	44
9	10	14	90	13	73	3	17	46
9	13	14	44	13	19	1	44	46
10	9	67	89	98	47	43	21	37
10	9	4	89	13	71	4	21	45
10	9	1	89	81	60	26	21	40
10	9	8	89	100	51	38	21	27
10	9	13	89	20	74	6	21	45
10	67	4	98	13	86	6	37	45
10	67	1	98	81	65	12	37	40
10	67	8	98	100	34	58	37	27
10	67	13	98	20	88	4	37	45
10	4	1	13	81	6	66	45	40
10	4	8	13	100	4	87	45	27
10	4	13	13	20	20	7	45	45
10	1	8	81	100	18	62	40	27
10	1	13	81	20	81	1	40	45
10	8	13	100	20	94	1	27	45
11	9	4	87	87	30	25	44	41
11	9	5	87	71	36	16	44	40
11	9	13	87	100	23	61	44	23
11	9	15	87	100	7	29	44	42
11	9	20	87	100	12	63	44	31
11	9	14	87	73	31	39	44	41
11	9	1	87	0	85	0	44	65535
11	9	6	87	90	19	61	44	36
11	9	66	87	77	22	39	44	41
11	4	5	87	71	37	19	41	40
11	4	13	87	100	13	73	41	23
11	4	15	87	100	12	28	41	42
11	4	20	87	100	8	65	41	31
11	4	14	87	73	30	53	41	41
11	4	1	87	0	84	0	41	65535
11	4	6	87	90	22	65	41	36
11	4	66	87	77	22	43	41	41
11	5	13	71	100	11	84	40	23
11	5	15	71	100	8	37	40	42
