1	9	10	98	100	61	27	27	35
1	9	3	98	86	74	10	27	46
1	9	11	98	89	66	28	27	44
1	9	14	98	100	21	68	27	9
1	9	8	98	100	64	26	27	29
1	9	64	98	95	63	26	27	39
1	9	4	98	100	63	36	27	29
1	9	18	98	35	79	9	27	44
1	10	3	100	86	67	4	35	46
1	10	11	100	89	71	7	35	44
1	10	14	100	100	12	63	35	9
1	10	8	100	100	34	51	35	29
1	10	64	100	95	70	13	35	39
1	10	4	100	100	24	70	35	29
1	10	18	100	35	76	5	35	44
1	3	11	86	89	16	36	46	44
1	3	14	86	100	17	74	46	9
1	3	8	86	100	9	69	46	29
1	3	64	86	95	20	39	46	39
1	3	4	86	100	8	79	46	29
1	3	18	86	35	33	10	46	44
1	11	14	89	100	21	58	44	9
1	11	8	89	100	22	69	44	29
1	11	64	89	95	18	23	44	39
1	11	4	89	100	22	60	44	29
1	11	18	89	35	53	10	44	44
1	14	8	100	100	59	30	9	29
1	14	64	100	95	68	11	9	39
1	14	4	100	100	70	23	9	29
1	14	18	100	35	70	6	9	44
1	8	64	100	95	61	24	29	39
1	8	4	100	100	45	22	29	29
1	8	18	100	35	69	12	29	44
1	64	4	95	100	22	62	39	29
1	64	18	95	35	68	8	39	44
1	4	18	100	35	72	6	29	44
2	19	80	50	74	45	18	33	39
2	19	26	50	73	35	20	33	42
2	19	5	50	64	34	35	33	34
2	19	12	50	42	50	22	33	20
2	80	26	74	73	46	9	39	42
2	80	5	74	64	19	43	39	34
2	80	12	74	42	51	24	39	20
2	26	5	73	64	9	63	42	34
2	26	12	73	42	50	16	42	20
2	5	12	64	42	39	18	34	20
3	7	20	82	75	55	11	28	31
3	7	6	82	66	46	5	28	43
3	7	1	82	74	48	5	28	44
3	7	15	82	76	41	6	28	27
3	7	16	82	83	57	15	28	35
3	7	14	82	93	4	46	28	28
3	7	66	82	57	41	8	28	40
3	7	18	82	93	14	43	28	25
3	7	11	82	26	63	2	28	48
3	20	6	75	66	32	11	31	43
3	20	1	75	74	50	16	31	44
3	20	15	75	76	9	50	31	27
3	20	16	75	83	23	17	31	35
3	20	14	75	93	6	60	31	28
3	20	66	75	57	29	2	31	40
3	20	18	75	93	5	59	31	25
3	20	11	75	26	63	4	31	48
3	6	1	66	74	40	25	43	44
3	6	15	66	76	16	52	43	27
3	6	16	66	83	22	47	43	35
3	6	14	66	93	6	64	43	28
3	6	66	66	57	24	14	43	40
3	6	18	66	93	9	67	43	25
3	6	11	66	26	28	3	43	48
3	1	15	74	76	18	58	44	27
3	1	16	74	83	21	55	44	35
3	1	14	74	93	22	66	44	28
3	1	66	74	57	15	18	44	40
3	1	18	74	93	13	34	44	25
3	1	11	74	26	29	6	44	48
3	15	16	76	83	30	15	27	35
3	15	14	76	93	6	66	27	28
3	15	66	76	57	52	9	27	40
3	15	18	76	93	16	72	27	25
3	15	11	76	26	68	0	27	48
3	16	14	83	93	18	61	35	28
3	16	66	83	57	66	10	35	40
3	16	18	83	93	19	60	35	25
3	16	11	83	26	69	9	35	48
3	14	66	93	57	64	15	28	40
3	14	18	93	93	32	32	28	25
3	14	11	93	26	73	3	28	48
3	66	18	57	93	11	68	40	25
3	66	11	57	26	36	7	40	48
3	18	11	93	26	56	3	25	48
4	1	14	100	11	96	1	33	47
4	1	9	100	99	20	72	33	19
4	1	8	100	100	55	30	33	37
4	1	64	100	68	71	23	33	44
4	1	10	100	100	38	50	33	27
4	1	11	100	90	57	29	33	37
4	1	67	100	98	68	12	33	37
4	14	9	11	99	1	91	47	19
4	14	8	11	100	3	93	47	37
4	14	64	11	68	3	63	47	44
4	14	10	11	100	0	100	47	27
4	14	11	11	90	2	81	47	37
4	14	67	11	98	3	84	47	37
4	9	8	99	100	83	15	19	37
4	9	64	99	68	72	15	19	44
4	9	10	99	100	63	29	19	27
4	9	11	99	90	68	20	19	37
4	9	67	99	98	74	22	19	37
4	8	64	100	68	72	16	37	44
4	8	10	100	100	27	57	37	27
4	8	11	100	90	30	57	37	37
4	8	67	100	98	23	63	37	37
4	64	10	68	100	11	75	44	27
4	64	11	68	90	17	63	44	37
4	64	67	68	98	7	73	44	37
4	10	11	100	90	61	15	27	37
4	10	67	100	98	68	25	27	37
4	11	67	90	98	62	20	37	37
5	66	37	14	84	3	70	45	31
5	66	19	14	77	3	65	45	33
5	66	3	14	38	11	26	45	48
5	66	2	14	80	4	68	45	37
5	66	18	14	87	4	77	45	33
5	66	12	14	15	16	12	45	21
5	66	14	14	91	3	78	45	35
5	37	19	84	77	56	20	31	33
5	37	3	84	38	64	6	31	48
5	37	2	84	80	58	15	31	37
5	37	18	84	87	42	36	31	33
5	37	12	84	15	63	12	31	21
5	37	14	84	91	47	29	31	35
5	19	3	77	38	60	6	33	48
5	19	2	77	80	42	29	33	37
5	19	18	77	87	24	31	33	33
5	19	12	77	15	60	15	33	21
5	19	14	77	91	18	31	33	35
5	3	2	38	80	10	64	48	37
5	3	18	38	87	3	80	48	33
5	3	12	38	15	23	16	48	21
5	3	14	38	91	7	65	48	35
5	2	18	80	87	15	43	37	33
5	2	12	80	15	61	19	37	21
5	2	14	80	91	4	47	37	35
