128	96
130	194
126	394
120	100
118	687
65	90
132	785
73	174
123	885
24	95
34	100
58	92
119	338
135	666
27	0
45	15
47	276
137	437
131	790
54	335
71	90
139	1420
56	277
72	173
138	1509
51	371
57	135
70	229
79	0
53	500
128	99
130	199
126	397
120	100
118	675
65	91
132	775
73	167
123	842
24	0
34	98
58	75
119	291
135	690
27	0
45	50
47	247
137	388
131	796
54	481
71	100
139	1344
56	402
72	200
138	1406
51	421
57	142
70	261
79	0
53	543
78	300
75	191
68	1296
17	66
76	1370
60	0
39	162
69	1470
66	0
38	224
80	1545
19	192
16	100
37	292
2	1903
25	99
7	100
3	180
5	871
20	86
35	170
18	1006
11	231
64	100
14	1090
9	97
1	1293
